dron.ownerId,dron.degree,dron.betweeness,dron.clustcoeff,dron.closeness,dron.eigenvalue,dron.pagerank
1003551,0,0,0,2.18E-06,1.46E-07,0.000262743
1003566,1016,130.6686017,0.453524179,1.15E-05,0.269465019,0.01498838
1003611,194,172.5958984,0.889390034,1.16E-05,0.001736281,0.000362304
1003612,582,187.8716758,0.660196706,1.16E-05,0.017643041,0.001385399
1003618,0,0,0,2.18E-06,1.46E-07,0.000262743
1003630,222,128.8211624,0.857657658,1.16E-05,0.003832083,0.000467729
1003637,626,319.7955073,0.682108626,1.16E-05,0.020002258,0.001361699
1003652,0,0,0,2.18E-06,1.46E-07,0.000262743
1003663,0,0,0,2.18E-06,1.46E-07,0.000262743
1003707,592,206.6587542,0.677714155,1.16E-05,0.018799422,0.001217298
1003711,130,88.71811864,0.916346154,1.16E-05,0.001183241,0.000326232
1003723,980,208.6755585,0.474856683,1.16E-05,0.131210438,0.007209191
1003724,84,29.40289531,0.958188153,1.16E-05,0.00082321,0.000299949
1003744,966,300.1257153,0.482009299,1.16E-05,0.108387737,0.005964982
1003747,0,0,0,2.18E-06,1.46E-07,0.000262743
1003757,0,0,0,2.18E-06,1.46E-07,0.000262743
1003763,684,182.4251087,0.639724923,1.16E-05,0.031648041,0.001827257
1003793,274,197.2559059,0.807750107,1.16E-05,0.004085058,0.000496376
1003815,108,66.41726748,0.918238994,1.16E-05,0.000842356,0.000315712
1003819,158,98.18382351,0.902953586,1.16E-05,0.001932609,0.000352045
1003832,552,374.9152153,0.704953887,1.16E-05,0.013737888,0.000962258
1003856,914,77.41093297,0.511808367,1.16E-05,0.160518078,0.008889912
1003902,940,339.0666439,0.494232136,1.16E-05,0.089909901,0.005321798
1003950,388,403.7264351,0.756369852,1.16E-05,0.006020141,0.000568124
1003951,346,260.2473193,0.792982928,1.16E-05,0.004644619,0.00052287
1003956,498,199.4412448,0.738016582,1.16E-05,0.013094739,0.001005895
1003957,530,212.7648563,0.723642081,1.16E-05,0.013102967,0.00104082
1003966,924,352.2443835,0.506092615,1.16E-05,0.064795582,0.003989924
1003973,106,194.5383595,0.91436865,1.16E-05,0.001103736,0.000324155
1003977,876,384.4918148,0.527050574,1.16E-05,0.06020915,0.003759732
1003981,710,217.7257407,0.624973992,1.16E-05,0.037771733,0.002348345
1003988,680,633.0014285,0.624879999,1.16E-05,0.018967027,0.001350483
1004027,214,139.6695912,0.878504673,1.16E-05,0.003220771,0.000460191
1004028,64,30.33894229,0.927419355,1.15E-05,0.000549949,0.000292853
1004029,284,278.3930018,0.791329538,1.16E-05,0.003654863,0.000474728
1004084,0,0,0,2.18E-06,1.46E-07,0.000262743
1004092,138,134.4748411,0.852088662,1.16E-05,0.001345834,0.000329854
1004098,0,0,0,2.18E-06,1.46E-07,0.000262743
1004121,714,374.0378238,0.615192277,1.16E-05,0.02841797,0.001722557
1004123,764,473.9876029,0.584652576,1.16E-05,0.030426802,0.001884758
1004144,278,285.001166,0.784068397,1.16E-05,0.002714582,0.000432609
1004179,624,508.672168,0.660616119,1.16E-05,0.017083271,0.001272479
1004192,270,108.8628297,0.881149807,1.16E-05,0.005179254,0.000539847
1004208,496,274.4136801,0.73519634,1.16E-05,0.011260194,0.000905689
1004230,324,40.58201055,0.824936738,1.16E-05,0.008202222,0.00067725
1004232,750,451.2768415,0.600880274,1.16E-05,0.025134576,0.001629733
1004239,332,274.3388689,0.814968967,1.16E-05,0.005873796,0.000553532
1004245,520,84.04797242,0.761686962,1.16E-05,0.02112891,0.001544968
1004254,848,237.287801,0.54980785,1.16E-05,0.066829357,0.003890325
1004258,238,162.8172007,0.821820254,1.16E-05,0.005193018,0.00048413
1004266,470,462.6428193,0.693762502,1.16E-05,0.007848649,0.000719379
1004277,756,287.878766,0.607878548,1.16E-05,0.038189093,0.002298703
1004285,192,106.221523,0.819736842,1.16E-05,0.002021027,0.000403152
1004291,550,210.0648598,0.693059058,1.16E-05,0.014455421,0.001166346
1004300,788,130.5175542,0.575219401,1.16E-05,0.064112959,0.003941094
1004305,344,216.0587425,0.78002176,1.16E-05,0.004629714,0.000568144
1004327,148,69.96896238,0.819326175,1.16E-05,0.002831527,0.00038689
1004341,74,43.02718023,0.944444444,1.16E-05,0.000930894,0.000300703
1004359,0,0,0,2.18E-06,1.46E-07,0.000262743
1004371,444,275.1507703,0.74171123,1.16E-05,0.011248158,0.000782649
1004372,338,173.5470007,0.822907861,1.16E-05,0.006046364,0.000594481
1004380,138,198.528921,0.896845695,1.16E-05,0.00121909,0.000324809
1004395,0,0,0,2.18E-06,1.46E-07,0.000262743
